Nazwisko aktualne,Liczba
GÓRALSKI,2224
MATCZAK,2224
TOPOLSKI,2223
BABIARZ,2222
PODSIADŁO,2221
BOROWIAK,2220
KORNACKI,2220
ROKITA,2220
JOŃCZYK,2218
KRZAK,2218
PIEKARZ,2216
GĄSKA,2213
RĄCZKA,2213
SOBCZYŃSKI,2209
CHYLIŃSKI,2208
LEWCZUK,2208
DUSZA,2205
KOŁACZ,2204
KRASUSKI,2204
WACHOWSKI,2204
WASZAK,2204
PILARCZYK,2203
TROJAN,2201
BĄCZEK,2200
IWAN,2200
NAPIÓRKOWSKI,2200
FRANKIEWICZ,2198
BODNAR,2197
MACHOWSKI,2192
DOMAGALSKI,2189
NYCZ,2188
DAWIDOWSKI,2185
RADWAŃSKI,2183
ZIEMBA,2181
RAKOCZY,2180
LUDWICZAK,2178
MASTALERZ,2178
STRZAŁKOWSKI,2176
SITARZ,2174
TARKA,2174
SAVCHUK,2170
KOBYLIŃSKI,2169
SUCHOCKI,2168
KLEIN,2166
WILIŃSKI,2165
PIWOWAR,2160
PISARSKI,2159
MARKOWICZ,2156
NEUMANN,2156
SZEWCZUK,2156
WOJDYŁA,2155
RYDZEWSKI,2153
DREWNIAK,2152
DWORAK,2152
KIELAR,2148
KLOC,2147
MAŁOLEPSZY,2146
GWIAZDA,2144
KOZIŃSKI,2143
GREGORCZYK,2141
GĄDEK,2137
STAROŃ,2137
ANTKOWIAK,2136
DUL,2134
PATER,2132
TRZASKA,2132
BACZYŃSKI,2129
SOROKA,2127
